School,Year,Industry,Percentage
Kellogg,2022,Real Estate,1.52
Chicago Booth,2021,Real Estate,1.5
Chicago Booth,2024,Nonprofit/Government,1.4
MIT Sloan,2020,Financial Services,1.4
Kellogg,2021,Medical Devices,1.4
Chicago Booth,2023,Energy,1.4
Kellogg,2024,Commercial Banking,1.38
Kellogg,2023,Venture Capital,1.33
NYU Stern,2025,Commercial Banking,1.3
NYU Stern,2025,Transportation & Logistics,1.3
MIT Sloan,2021,Energy,1.3
MIT Sloan,2022,Nonprofit/Government,1.2
Chicago Booth,2021,Energy,1.1
Chicago Booth,2021,Services,1.1
Columbia,2022,Healthcare/Pharma,1.1
Kellogg,2024,Energy,1.1
Kellogg,2023,Real Estate,1.06
Stanford,2022,Manufacturing,1.0
Stanford,2022,Hardware,1.0
Stanford,2023,Automotive,1.0
Stanford,2022,Automotive,1.0
Stanford,2022,Transportation & Logistics <,1.0
MIT Sloan,2020,Energy,1.0
MIT Sloan,2014,Venture Capital,1.0
Stanford,2022,Real Estate,1.0
MIT Sloan,2020,Nonprofit/Government,1.0
Kellogg,2024,Operations/Logistics,1.0
Stanford,2025,Manufacturing,1.0
Stanford,2022,TRANSPORTATION & LOGISTICS,1.0
Chicago Booth,2023,Hardware,1.0
Chicago Booth,2023,Real Estate,1.0
Stanford,2023,Transportation & Logistics,1.0
Columbia,2021,Corporate Finance,1.0
Stanford,2024,Hospitality,1.0
Kellogg,2023,Operations/Logistics,1.0
Stanford,2023,Hardware,1.0
Kellogg,2021,Operations/Logistics,1.0
Chicago Booth,2024,Travel and Transportation,0.9
Chicago Booth,2022,Services,0.9
NYU Stern,2025,Energy,0.9
Chicago Booth,2021,Manufacturing,0.9
Chicago Booth,2021,Nonprofit/Government,0.9
Kellogg,2023,Energy,0.8
Kellogg,2021,Real Estate,0.8
MIT Sloan,2023,Nonprofit/Government,0.7
Chicago Booth,2024,Manufacturing,0.7
Chicago Booth,2021,Hardware,0.7
Columbia,2022,Consumer/Retail,0.6
Chicago Booth,2022,Energy,0.6
Chicago Booth,2023,Nonprofit/Government,0.6
Chicago Booth,2023,Manufacturing,0.6
Kellogg,2024,Real Estate,0.55
Kellogg,2021,Energy,0.5
Chicago Booth,2024,Commercial Banking,0.5
Kellogg,2022,Medical Devices,0.43
Kellogg,2022,Commercial Banking,0.43
Chicago Booth,2022,Nonprofit/Government,0.4
NYU Stern,2025,Manufacturing,0.4
NYU Stern,2025,Healthcare/Pharma,0.4
Chicago Booth,2022,Manufacturing,0.4
Chicago Booth,2022,Media/Entertainment,0.4
Chicago Booth,2022,Hardware,0.4
NYU Stern,2025,Hospitality,0.3
Kellogg,2021,Hospitality,0.3
Kellogg,2021,Media/Entertainment,0.3
Kellogg,2024,Medical Devices,0.28
Kellogg,2023,Hospitality,0.27
Kellogg,2023,Commercial Banking,0.27
Kellogg,2023,Medical Devices,0.27
Kellogg,2022,Energy,0.22
Kellogg,2022,Hospitality,0.22
Chicago Booth,2023,Commercial Banking,0.2
Chicago Booth,2021,Hospitality,0.2
Chicago Booth,2021,Transportation Services,0.2
Chicago Booth,2024,Hospitality,0.2
NYU Stern,2026,Financial Services,38.1,Internship
NYU Stern,2026,Consulting,18.1,Internship
NYU Stern,2026,Technology/Telecommunications,18.1,Internship
NYU Stern,2026,Investment Banking,26.9,Internship
NYU Stern,2026,Consumer Packaged Goods,3.9,Internship
NYU Stern,2026,Entertainment/Media/Sports,5.1,Internship
NYU Stern,2026,Healthcare/Pharmaceuticals/Biotech,3.6,Internship
NYU Stern,2026,Nonprofit/Education,3.0,Internship
NYU Stern,2026,Real Estate,3.0,Internship
NYU Stern,2026,Retail,2.4,Internship
NYU Stern,2026,Private Equity,3.3,Internship
NYU Stern,2026,Venture Capital,3.6,Internship
NYU Stern,2026,Diversified Financial Services,3.0,Internship
NYU Stern,2026,Asset Management,0.3,Internship
NYU Stern,2026,Commercial Banking,0.3,Internship
NYU Stern,2026,Hedge Fund,0.6,Internship
NYU Stern,2026,Energy,0.3,Internship
NYU Stern,2026,Government,0.9,Internship
NYU Stern,2026,Hospitality,0.3,Internship
NYU Stern,2026,Law,2.4,Internship
NYU Stern,2026,Transportation & Logistics,0.3,Internship
NYU Stern,2026,Other,0.3,Internship

Harvard,2025,Technology,22.0
Harvard,2025,Consulting,21.0
Harvard,2025,Private Equity,14.0
Harvard,2025,Investment Management / Hedge Fund,7.0
Harvard,2025,Investment Banking,6.0
Harvard,2025,Health Care,6.0
Harvard,2025,Manufacturing,5.0
Harvard,2025,Nonprofit / Government,4.0
Harvard,2025,Venture Capital,4.0
Harvard,2025,Entertainment / Media,3.0
Harvard,2025,Services,3.0
Harvard,2025,Other Financial Services,3.0
Harvard,2025,Consumer Products,2.0
Harvard,2024,Consulting,18.0
Harvard,2024,Technology,17.0
Harvard,2024,Private Equity,16.0
Harvard,2024,Investment Management / Hedge Fund,10.0
Harvard,2024,Health Care,9.0
Harvard,2024,Investment Banking,7.0
Harvard,2024,Manufacturing,4.0
Harvard,2024,Venture Capital,4.0
Harvard,2024,Nonprofit / Government,3.0
Harvard,2024,Services,3.0
Harvard,2024,Other Financial Services,3.0
Harvard,2024,Entertainment / Media,2.0
Harvard,2024,Real Estate,2.0
Harvard,2024,Consumer Products,2.0
Stanford,2021,Finance,33.0
Stanford,2021,Technology,29.0
Stanford,2021,Consulting,18.0
Stanford,2021,Private Equity,15.0
Stanford,2021,Consumer Technology,14.0
Stanford,2021,Venture Capital,11.0
Stanford,2021,Enterprise Technology,6.0
Stanford,2021,Healthcare,5.0
Stanford,2021,Media/Entertainment,4.0
Stanford,2021,Investment Management,4.0
Stanford,2021,Real Estate,2.0
Stanford,2021,Consumer Products,2.0
Stanford,2021,Agriculture,1.0
Stanford,2021,Education,1.0
Stanford,2021,Energy,1.0
Stanford,2021,Hospitality/Travel,1.0
Stanford,2021,Manufacturing,1.0
Stanford,2021,Transportation & Logistics,1.0
Chicago Booth,2024,Consulting,33.8
Chicago Booth,2024,Financial Services,32.9
Chicago Booth,2024,Investment Banking/Brokerage,9.4
Chicago Booth,2024,Private Equity,6.4
Chicago Booth,2024,Healthcare,4.1
Chicago Booth,2024,Real Estate,3.4
Chicago Booth,2024,Technology,3.2
Chicago Booth,2024,Law,2.7
Chicago Booth,2024,Investment Management/Research,2.5
Chicago Booth,2024,Consumer Products,2.3
Chicago Booth,2024,Retail,1.8
Chicago Booth,2024,Energy,1.8
Chicago Booth,2024,Healthcare - Services,1.8
Chicago Booth,2024,Venture Capital,1.6
Chicago Booth,2024,Clean Tech/Renewables,1.4
Chicago Booth,2024,Food/Beverage/Tobacco,1.4
Chicago Booth,2024,Education/Non-Profit,1.4
Chicago Booth,2024,Pharmaceutical Products,1.4
Chicago Booth,2024,Diversified Financial Services,11.4
Chicago Booth,2024,Insurance,1.1
Chicago Booth,2024,Arts/Media/Entertainment,1.1
