School,Year,Industry,Percentage
MIT Sloan,2019,Consumer Products,1.1
MIT Sloan,2019,Nonprofit,0.6
MIT Sloan,2020,Consulting,31.1
MIT Sloan,2020,Technology,24.8
MIT Sloan,2020,Investment Banking,7.7
MIT Sloan,2020,Investment Management,3.5
MIT Sloan,2020,Private Equity,3.5
MIT Sloan,2020,Nonprofit,2.5
MIT Sloan,2020,Consumer Products,2.4
MIT Sloan,2020,Venture Capital,2.1
MIT Sloan,2020,Financial Services,1.4
MIT Sloan,2020,Media & Entertainment,1.0
MIT Sloan,2020,Energy,1.0
MIT Sloan,2021,Technology,31.0
MIT Sloan,2021,Consulting,28.6
MIT Sloan,2021,Finance,23.2
MIT Sloan,2021,Software/Internet,21.3
MIT Sloan,2021,Investment Banking/Brokerage,8.5
MIT Sloan,2021,Pharmaceutical/Healthcare/Biotechnology,6.6
MIT Sloan,2021,Private Equity,4.7
MIT Sloan,2021,Investment Management,4.0
MIT Sloan,2021,Computers/Electronics,3.5
MIT Sloan,2021,Consumer Products,2.7
MIT Sloan,2021,Venture Capital,2.5
MIT Sloan,2021,Retail,1.9
MIT Sloan,2022,Consulting,31.2
MIT Sloan,2022,Financial Services,22.6
MIT Sloan,2022,Investment Banking,6.5
MIT Sloan,2022,Venture Capital,4.4
MIT Sloan,2022,Private Equity,4.2
MIT Sloan,2022,Investment Management,3.6
MIT Sloan,2022,Consumer Products,3.6
MIT Sloan,2022,Energy,2.0
MIT Sloan,2022,Media & Entertainment,2.0
MIT Sloan,2022,Manufacturing,2.0
MIT Sloan,2022,Technology,1.5
MIT Sloan,2022,Nonprofit,0.3
MIT Sloan,2023,Consulting,33.7
MIT Sloan,2023,Financial Services,24.1
MIT Sloan,2023,Technology,20.1
MIT Sloan,2023,Investment Banking,6.2
MIT Sloan,2023,Media & Entertainment,5.5
MIT Sloan,2023,Manufacturing,4.5
MIT Sloan,2023,Investment Management,3.8
MIT Sloan,2023,Venture Capital,3.8
MIT Sloan,2023,Energy,2.7
MIT Sloan,2023,Consumer Products,2.7
MIT Sloan,2023,Nonprofit,2.5
MIT Sloan,2023,Private Equity,2.4
MIT Sloan,2024,Consulting,32.1
MIT Sloan,2024,Financial Services,29.5
MIT Sloan,2024,Technology,25.3
MIT Sloan,2024,Media & Entertainment,17.3
MIT Sloan,2024,Investment Banking,5.9
MIT Sloan,2024,Investment Management,5.4
MIT Sloan,2024,Venture Capital,4.5
MIT Sloan,2024,Nonprofit,3.8
MIT Sloan,2024,Energy,3.2
MIT Sloan,2024,Consumer Products,3.2
MIT Sloan,2024,Private Equity,2.7
MIT Sloan,2024,Manufacturing,2.3
Stanford,2021,Financial Services,33.0
Stanford,2021,Technology,29.0
Stanford,2021,Consulting,18.0
Stanford,2021,Private Equity,15.0
Stanford,2021,Venture Capital,11.0
Stanford,2021,Healthcare,5.0
Stanford,2021,Nonprofit,4.0
Stanford,2021,Investment Management,4.0
Stanford,2021,Media & Entertainment,4.0
Stanford,2021,Consumer Products,2.0
Stanford,2021,Real Estate,2.0
Stanford,2021,Energy,1.0
Stanford,2021,Manufacturing,1.0
Stanford,2022,Technology,30.0
Stanford,2022,Financial Services,26.0
Stanford,2022,Venture Capital,12.0
Stanford,2022,Consulting,10.0
Stanford,2022,Healthcare,8.0
Stanford,2022,Private Equity,6.0
Stanford,2022,Consumer Products,5.0
Stanford,2022,Investment Management,5.0
Stanford,2022,Media & Entertainment,5.0
Stanford,2022,Energy,2.0
Stanford,2022,Nonprofit,1.0
Stanford,2022,Investment Banking,1.0
Stanford,2022,Manufacturing,1.0
Stanford,2022,Real Estate,1.0
Stanford,2023,Financial Services,38.0
Stanford,2023,Technology,24.0
Stanford,2023,Private Equity,18.0
Stanford,2023,Consulting,15.0
Stanford,2023,Venture Capital,13.0
Stanford,2023,Healthcare,4.0
Stanford,2023,Nonprofit,3.0
Stanford,2023,Consumer Products,3.0
Stanford,2023,Energy,3.0
Stanford,2023,Investment Management,2.0
Stanford,2023,Media & Entertainment,2.0
Stanford,2023,Real Estate,2.0
Stanford,2023,Manufacturing,2.0
Stanford,2024,Financial Services,37.0
Stanford,2024,Technology,22.0
Stanford,2024,Private Equity,20.0
Stanford,2024,Consulting,14.0
Stanford,2024,Venture Capital,7.0
Stanford,2024,Healthcare,6.0
Stanford,2024,Investment Management,6.0
Stanford,2024,Energy,5.0
Stanford,2024,Media & Entertainment,5.0
Stanford,2024,Nonprofit,4.0
Stanford,2024,Consumer Products,2.0
Stanford,2024,Manufacturing,2.0
Stanford,2024,Real Estate,2.0
Stanford,2025,Technology,35.0
Stanford,2025,Financial Services,33.0
Stanford,2025,Private Equity,16.0
Stanford,2025,Consulting,11.0
Stanford,2025,Venture Capital,6.0
Stanford,2025,Investment Management,6.0
Stanford,2025,Healthcare,5.0
Stanford,2025,Energy,4.0
Stanford,2025,Nonprofit,3.0
Stanford,2025,Consumer Products,2.0
Stanford,2025,Media & Entertainment,2.0
Stanford,2025,Real Estate,1.0
Stanford,2025,Manufacturing,1.0
Columbia,2023,Consulting,36.3
Columbia,2023,Financial Services,35.7
Columbia,2023,Investment Banking,16.4
Columbia,2023,Technology,10.8
Columbia,2023,Investment Management,7.5
Columbia,2023,Internet Services/E-Commerce,6.8
Columbia,2023,Private Equity,5.6
Columbia,2023,Real Estate,3.3
Columbia,2023,Consumer Products,3.2
Columbia,2023,Hardware/Software/Telecom,2.8
Columbia,2023,Venture Capital,2.8
Columbia,2023,Other/Diversified Products,2.7
Columbia,2023,Healthcare,2.6
Columbia,2023,Media Entertainment & Sports,2.0
Columbia,2023,Fintech,2.2
Columbia,2023,Pharma/Biotech/Devices,1.8
Columbia,2023,Consumer Finance & Analytics,1.7
Columbia,2023,Education/Government/Nonprofit,1.6
Columbia,2023,Manufacturing,0.9
Columbia,2023,Retail,0.8
Columbia,2022,Consulting,33.6
Columbia,2022,Financial Services,36.9
Columbia,2022,Media/Technology,16.0
Columbia,2022,Investment Banking,16.7
Columbia,2022,Other,10.3
Columbia,2022,Internet Services/E-Commerce,9.0
Columbia,2022,Investment Management,8.2
Columbia,2022,Private Equity,4.7
Columbia,2022,Real Estate,3.6
Columbia,2022,Venture Capital,3.3
Columbia,2022,Manufacturing,3.2
Columbia,2022,Hardware/Software/Telecom,2.5
Columbia,2022,Fintech,2.2
Columbia,2022,Consumer Finance & Analytics,2.1
Columbia,2022,Entertainment (Film/Music/TV/Sports/Leisure),1.9
Columbia,2022,Healthcare - Pharma/Biotech/Devices,1.5
Columbia,2022,Education/Government/Nonprofit,1.4
Columbia,2022,Healthcare - Providers & Services,1.1
Kellogg,2020,Consulting,39.0
Kellogg,2020,Technology,25.0
Kellogg,2020,Financial Services,14.0
Kellogg,2020,Marketing/Sales,11.0
Kellogg,2020,Consumer Packaged Goods,8.0
Kellogg,2020,Healthcare,5.0
Kellogg,2020,Manufacturing,3.0
Kellogg,2020,Nonprofit,2.0
Stanford,2022,Technology,30.0
Stanford,2022,Finance,26.0
Stanford,2022,Consulting,18.0
Stanford,2022,Private Equity,14.0
Stanford,2022,Venture Capital,8.0
Stanford,2023,Technology,49.0
Stanford,2023,Finance,38.0
Stanford,2023,Consulting,15.0
Stanford,2023,Private Equity,13.0
Stanford,2023,Venture Capital,13.0
Stanford,2024,Finance,37.0
Stanford,2024,Technology,28.0
Stanford,2024,Consulting,14.0
Stanford,2024,Private Equity,12.0
Stanford,2024,Venture Capital,7.0
MIT Sloan,2020,Consulting,31.1
MIT Sloan,2020,Software/Internet,24.8
MIT Sloan,2020,Financial,18.5
MIT Sloan,2020,Investment Banking/Brokerage,7.7
MIT Sloan,2020,Pharmaceutical/Healthcare/Biotechnology,5.6
MIT Sloan,2020,Investment Management,3.5
MIT Sloan,2020,Private Equity,3.5
MIT Sloan,2020,Automotive/Aerospace,3.1
MIT Sloan,2020,Consumer Products,3.1
MIT Sloan,2020,Retail,2.4
MIT Sloan,2020,Venture Capital,2.1
MIT Sloan,2020,Computers/Electronics,2.1
NYU Stern,2023,Consulting,41.9
NYU Stern,2023,Financial Services,29.4
NYU Stern,2023,Technology/Telecommunications,14.2
NYU Stern,2023,Investment Banking,23.3
NYU Stern,2023,Consumer Packaged Goods,3.0
NYU Stern,2023,Entertainment/Media/Sports,3.4
NYU Stern,2023,Healthcare/Pharmaceuticals/Biotech,1.4
NYU Stern,2023,Real Estate,1.0
NYU Stern,2023,Retail,0.7
NYU Stern,2023,Asset Management,1.7
NYU Stern,2023,Private Equity,1.0
NYU Stern,2023,Venture Capital,1.7
NYU Stern,2023,Law,2.4
NYU Stern,2023,Manufacturing,0.3
NYU Stern,2023,Transportation & Logistics,1.0
NYU Stern,2024,Consulting,37.0
NYU Stern,2024,Financial Services,35.7
NYU Stern,2024,Technology/Telecommunications,9.1
NYU Stern,2024,Investment Banking,27.4
NYU Stern,2024,Consumer Packaged Goods,5.7
NYU Stern,2024,Entertainment/Media/Sports,3.9
NYU Stern,2024,Healthcare/Pharmaceuticals/Biotech,1.7
NYU Stern,2024,Real Estate,1.3
NYU Stern,2024,Retail,1.3
NYU Stern,2024,Asset Management,2.6
NYU Stern,2024,Private Equity,2.2
NYU Stern,2024,Venture Capital,1.3
NYU Stern,2024,Law,2.2
NYU Stern,2024,Manufacturing,0.4
NYU Stern,2024,Energy/Power,0.9
NYU Stern,2024,Nonprofit/Education,0.9
