School,Function,Avg_Percentage,First_Year,Last_Year,Data_Points
NYU Stern,Strategy,7.8,2025,2025,1
NYU Stern,Corporate Finance,5.2,2025,2025,1
NYU Stern,General,1.7,2025,2025,1
NYU Stern,Operations,1.7,2025,2025,1
NYU Stern,Private Equity,1.7,2025,2025,1
NYU Stern,Analytics/Data Science,0.9,2025,2025,1
NYU Stern,Venture Capital,0.9,2025,2025,1
NYU Stern,Accounting -,0.4,2025,2025,1
NYU Stern,Human Resources,0.4,2025,2025,1
NYU Stern,Technology/Engineering,0.4,2025,2025,1
NYU Stern,Business Development,0.3,2025,2025,1
Stanford,Finance,32.25,2021,2025,4
Stanford,Consulting,15.75,2021,2025,4
Stanford,Marketing,14.6,2021,2025,5
Stanford,Private Equity,14.0,2021,2025,5
Stanford,Product Management,10.5,2021,2022,2
Stanford,Venture Capital,8.8,2021,2025,5
Stanford,EUROPE,3.0,2021,2021,1
Stanford,Business Development,2.4,2021,2025,5
Stanford,Europe,1.0,2023,2024,2
Stanford,Europe <,1.0,2025,2025,1
Stanford,Human Resources <,1.0,2022,2022,1
Stanford,Latin America and Caribbean,1.0,2023,2023,1
Stanford,Operations,1.0,2022,2022,1
